,TEAM_OPEN,TEAM_HIGH,TEAM_LOW,TEAM_CLOSE,TEAM_VOLUME,TEAM_ema10,TEAM_ema30,TEAM_ema50,TEAM_ma10,TEAM_ma30,TEAM_ma50,TEAM_ma100,TEAM_rsi2,TEAM_rsi6,TEAM_rsi14,TEAM_rsi30,SMT_OPEN,SMT_HIGH,SMT_LOW,SMT_CLOSE,SMT_VOLUME,SMT_ema10,SMT_ema30,SMT_ema50,SMT_ma10,SMT_ma30,SMT_ma50,SMT_ma100,SMT_rsi2,SMT_rsi6,SMT_rsi14,SMT_rsi30,CCET_OPEN,CCET_HIGH,CCET_LOW,CCET_CLOSE,CCET_VOLUME,CCET_ema10,CCET_ema30,CCET_ema50,CCET_ma10,CCET_ma30,CCET_ma50,CCET_ma100,CCET_rsi2,CCET_rsi6,CCET_rsi14,CCET_rsi30,HANA_OPEN,HANA_HIGH,HANA_LOW,HANA_CLOSE,HANA_VOLUME,HANA_ema10,HANA_ema30,HANA_ema50,HANA_ma10,HANA_ma30,HANA_ma50,HANA_ma100,HANA_rsi2,HANA_rsi6,HANA_rsi14,HANA_rsi30,DELTA_OPEN,DELTA_HIGH,DELTA_LOW,DELTA_CLOSE,DELTA_VOLUME,DELTA_ema10,DELTA_ema30,DELTA_ema50,DELTA_ma10,DELTA_ma30,DELTA_ma50,DELTA_ma100,DELTA_rsi2,DELTA_rsi6,DELTA_rsi14,DELTA_rsi30,KCE_OPEN,KCE_HIGH,KCE_LOW,KCE_CLOSE,KCE_VOLUME,KCE_ema10,KCE_ema30,KCE_ema50,KCE_ma10,KCE_ma30,KCE_ma50,KCE_ma100,KCE_rsi2,KCE_rsi6,KCE_rsi14,KCE_rsi30,NEX_OPEN,NEX_HIGH,NEX_LOW,NEX_CLOSE,NEX_VOLUME,NEX_ema10,NEX_ema30,NEX_ema50,NEX_ma10,NEX_ma30,NEX_ma50,NEX_ma100,NEX_rsi2,NEX_rsi6,NEX_rsi14,NEX_rsi30,SVI_OPEN,SVI_HIGH,SVI_LOW,SVI_CLOSE,SVI_VOLUME,SVI_ema10,SVI_ema30,SVI_ema50,SVI_ma10,SVI_ma30,SVI_ma50,SVI_ma100,SVI_rsi2,SVI_rsi6,SVI_rsi14,SVI_rsi30,METCO_OPEN,METCO_HIGH,METCO_LOW,METCO_CLOSE,METCO_VOLUME,METCO_ema10,METCO_ema30,METCO_ema50,METCO_ma10,METCO_ma30,METCO_ma50,METCO_ma100,METCO_rsi2,METCO_rsi6,METCO_rsi14,METCO_rsi30,set50_index,set100_index,foreign_SET.BUY,foreign_SET.SELL,DELTA_gg_trend,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,delta หุ้น,delta airlines,AS_top3_SET100_corr,NER_top3_SET100_corr,BOL_top3_SET100_corr
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.08,2225.62,523660.32,540962.77,,,,,,,,
2020-01-02,0.8799999952316284,0.8999999761581421,0.8700000047683716,0.8700000047683716,402300.0,0.8700000047683716,0.8700000047683716,0.8700000047683716,,,,,,,,,1.1699999570846558,1.2000000476837158,1.1699999570846558,1.1799999475479126,549500.0,1.1799999475479126,1.1799999475479126,1.1799999475479126,,,,,,,,,1.7353849411010742,1.7353849411010742,1.6984620094299316,1.7169229984283447,1187224.0,1.7169229984283447,1.7169229984283447,1.7169229984283447,,,,,,,,,34.5,34.5,32.25,33.25,6706700.0,33.25,33.25,33.25,,,,,,,,,53.5,53.75,51.25,51.75,1077800.0,51.75,51.75,51.75,,,,,,,,,24.399999618530273,24.5,22.399999618530273,23.200000762939453,43574700.0,23.200000762939453,23.200000762939453,23.200000762939453,,,,,,,,,2.7872209548950195,2.80657696723938,2.7485098838806152,2.80657696723938,933058.0,2.80657696723938,2.80657696723938,2.80657696723938,,,,,,,,,3.5999999046325684,3.619999885559082,3.5199999809265137,3.5399999618530273,2392200.0,3.5399999618530273,3.5399999618530273,3.5399999618530273,,,,,,,,,175.0,176.0,175.0,175.0,1100.0,175.0,175.0,175.0,,,,,,,,,,,,,,,,,,1.2999999523162842,2.799999952316284,2.940000057220459
2020-01-03,0.8799999952316284,0.8799999952316284,0.8600000143051147,0.8600000143051147,395400.0,0.868181824684143,0.8693548440933228,0.8696078482796165,,,,,,,,,1.190000057220459,1.2100000381469727,1.1799999475479126,1.190000057220459,314800.0,1.1818181493065574,1.1806451159138833,1.180392108711542,,,,,,,,,1.7261539697647095,1.7261539697647095,1.689231038093567,1.689231038093567,1630416.0,1.7118880965492942,1.7151364203422301,1.71583703919953,,,,,,,,,33.5,33.5,33.0,33.0,2233000.0,33.20454545454545,33.233870967741936,33.240196078431374,,,,,,,,,51.5,53.0,51.5,51.5,964700.0,51.70454545454545,51.733870967741936,51.74019607843137,,,,,,,,,23.200000762939453,23.799999237060547,22.399999618530273,22.399999618530273,32994100.0,23.05454600941051,23.148387785880796,23.168628169041057,,,,,,,,,2.80657696723938,2.80657696723938,2.729154109954834,2.80657696723938,1095284.0,2.80657696723938,2.80657696723938,2.80657696723938,,,,,,,,,3.5399999618530273,3.5399999618530273,3.4800000190734863,3.5,1944000.0,3.532727241516113,3.537419319152832,3.538431335898007,,,,,,,,,176.0,176.0,176.0,176.0,700.0,175.18181818181816,175.06451612903226,175.03921568627453,,,,,,,,,,,,,,,,,,1.2899999618530273,2.700000047683716,2.9600000381469727
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,65.0,19.0,0.0,40.0,,,
2020-01-06,0.8600000143051147,0.8700000047683716,0.7799999713897705,0.7799999713897705,668500.0,0.8521487604488025,0.8635900135963194,0.8660938138917794,,,,,0.0,,,,1.1699999570846558,1.190000057220459,1.1200000047683716,1.1200000047683716,372400.0,1.1705784866632507,1.1767325280980439,1.178023790909849,,,,,6.666730244863477,,,,1.70769202709198,1.7169229984283447,1.689231038093567,1.689231038093567,1751641.0,1.7077686313755256,1.7134651053584453,1.714793666607139,,,,,0.0,,,,33.0,33.75,32.75,33.0,5173200.0,33.167355371900825,33.218782518210205,33.230776624375245,,,,,0.0,,,,51.0,51.25,49.0,50.25,633700.0,51.44008264462809,51.63813735691988,51.681757016532096,,,,,0.0,,,,21.899999618530273,22.899999618530273,21.299999237060547,21.5,35414200.0,22.771901280426782,23.042040186791713,23.103191770255133,,,,,0.0,,,,2.7485098838806152,2.7678658962249756,2.6904430389404297,2.7485098838806152,1286029.0,2.7960193157196045,2.802830703796879,2.804299826715507,,,,,0.0,,,,3.5,3.5,3.4200000762939453,3.4600000381469727,1468100.0,3.5195041136308145,3.5324245268298733,3.5353555987312997,,,,,0.0,,,,177.0,177.0,173.0,173.5,3200.0,174.8760330578512,174.96357960457857,174.9788542868128,,,,,16.666666666666664,,,,,,,,,,,,,1.2899999618530273,2.5399999618530273,2.9000000953674316
2020-01-07,0.800000011920929,0.8100000023841858,0.7799999713897705,0.7900000214576721,334200.0,0.8408489897231424,0.8588422721680196,0.8631097436002458,,,,,19.047689329647312,,,,1.1100000143051147,1.1299999952316284,1.1100000143051147,1.1100000143051147,299900.0,1.1595642189617714,1.1724272046275324,1.1753561918273105,,,,,5.2632107298299635,,,,1.689231038093567,1.70769202709198,1.689231038093567,1.689231038093567,1241716.0,1.7043981598697149,1.711901617147808,1.713791210586999,,,,,0.0,,,,33.0,33.75,33.0,33.5,2931700.0,33.2278362133734,33.23692558155148,33.241334403811514,,,,,88.88888888888889,,,,50.5,51.25,49.75,50.0,635400.0,51.178249436513894,51.53245107582828,51.61580576098182,,,,,0.0,,,,22.100000381469727,22.700000762939453,21.600000381469727,22.0,23618300.0,22.631555593076456,22.974811787643862,23.059929347892187,,,,,43.47825726399154,,,,2.7485098838806152,2.7678658962249756,2.729154109954834,2.7485098838806152,840682.0,2.7873812372034243,2.799326134770024,2.802111985820021,,,,,0.0,,,,3.4600000381469727,3.5199999809265137,3.4200000762939453,3.4600000381469727,2086200.0,3.5086851908155703,3.527751979172912,3.532400478708385,,,,,0.0,,,,174.0,174.0,174.0,174.0,400.0,174.71675432006006,174.90141317847673,174.94046784419268,,,,,37.5,,,,,,,,,,,,,1.2999999523162842,2.619999885559082,2.9200000762939453
2020-01-08,0.800000011920929,0.800000011920929,0.7400000095367432,0.75,474000.0,0.8243309915916619,0.8518201900926635,0.8586740673806283,,,,,7.547201215663818,,,,1.1100000143051147,1.1100000143051147,1.0,1.0,1060400.0,1.1305525427869039,1.161302868845111,1.168479478422318,,,,,0.9345894349626045,,,,1.689231038093567,1.70769202709198,1.6799999475479126,1.6799999475479126,1303357.0,1.6999621212657507,1.7098434449155568,1.712466063016839,,,,,0.0,,,,33.5,34.0,32.75,34.0,4473400.0,33.36822962912369,33.28615618919332,33.27108599581891,,,,,96.0,,,,48.75,49.75,48.5,49.25,626300.0,50.827658629875,51.385196167710326,51.52302906447273,,,,,0.0,,,,21.600000381469727,21.799999237060547,20.399999618530273,20.899999618530273,37622300.0,22.316727234068058,22.840952938023634,22.975226221250544,,,,,14.925369310284408,,,,2.729154109954834,2.729154109954834,2.651731014251709,2.7097980976104736,1415293.0,2.7732752118228876,2.7935501323726335,2.798491833341216,,,,,0.0,,,,3.4600000381469727,3.4800000190734863,3.3399999141693115,3.359999895095825,3036000.0,3.4816515006847073,3.5169292640711642,3.5256396715078924,,,,,0.0,,,,174.0,175.0,174.0,174.0,4600.0,174.5864353527764,174.84325748954276,174.90358675226355,,,,,37.5,,,,,,,,,,,,,1.2999999523162842,2.5799999237060547,2.799999952316284
2020-01-09,0.7699999809265137,0.7799999713897705,0.75,0.75,405500.0,0.8108162658477233,0.8452511455705563,0.8544123392480547,,,,,7.547201215663819,,,,1.0299999713897705,1.0499999523162842,1.0299999713897705,1.0399999618530273,289900.0,1.1140884371625626,1.1534768748456217,1.163441066007836,,,,,38.011673728714605,,,,1.70769202709198,1.70769202709198,1.689231038093567,1.70769202709198,1691516.0,1.7013675586887014,1.7097046437656487,1.7122788459217464,,,,,81.35547513621928,,,,34.25,35.25,34.25,35.0,4937200.0,33.6649151511012,33.396726757632464,33.33888654500248,,,,,98.87640449438202,,,,50.5,53.5,50.5,53.0,1232800.0,51.222629788079544,51.48937706011612,51.580949493316936,,,,,86.0215053763441,,,,21.700000762939453,22.100000381469727,21.5,21.899999618530273,40110200.0,22.24095857669755,22.78024627224987,22.93306047212426,,,,,61.224482646340824,,,,2.7097980976104736,2.8259329795837402,2.7097980976104736,2.7872209548950195,1533191.0,2.7758108014723657,2.7931417983418196,2.7980498381080317,,,,,74.41848207356999,,,,3.440000057220459,3.440000057220459,3.4000000953674316,3.4200000762939453,486000.0,3.4704421507954777,3.5106757680855374,3.521496942283816,,,,,51.063877276575624,,,,174.0,174.0,174.0,174.0,2000.0,174.47981074318065,174.78885378054002,174.86815197766498,,,,,37.5,,,,,,,,,,,,,1.350000023841858,2.6600000858306885,2.799999952316284
2020-01-10,0.7599999904632568,0.7699999809265137,0.75,0.7699999809265137,172000.0,0.803395123134776,0.8403962317225535,0.8511020506864257,,,,,58.119631123613935,26.81573078745674,,,1.0499999523162842,1.2300000190734863,1.0499999523162842,1.149999976158142,4377700.0,1.1206178078890314,1.153252558801268,1.162913964445103,,,,,79.7323106468184,55.966607975828126,,,1.7169229984283447,1.7353849411010742,1.70769202709198,1.7353849411010742,1326324.0,1.7075525373091327,1.711361437142128,1.713184967301328,,,,,92.9031595826571,74.32361489156982,,,35.0,35.75,34.75,35.5,3037200.0,33.99856694181007,33.53242180552715,33.42363609225728,,,,,99.34640522875817,95.14728947000636,,,54.5,54.75,53.0,53.5,600400.0,51.6366970993378,51.61909466914089,51.656206375931966,,,,,88.62973760932944,72.59008414506171,,,22.100000381469727,22.200000762939453,21.0,21.0,31822700.0,22.01532974457072,22.6653916740402,22.85725417909978,,,,,30.92783971399991,31.695431962533156,,,2.7872209548950195,2.8646440505981445,2.7872209548950195,2.845288038253784,3182523.0,2.7884430263417146,2.796506071884527,2.7999023165451202,,,,,87.91201294363636,69.07337043659842,,,3.440000057220459,3.5799999237060547,3.4200000762939453,3.5,938900.0,3.4758163051963,3.509987008854212,3.5206539249393525,,,,,79.27926302479189,55.36398760136173,,,174.0,174.0,174.0,174.0,700.0,174.3925724262387,174.73795998824713,174.83410680207027,,,,,37.5,36.4406779661017,,,,,,,,,,,,1.409999966621399,2.700000047683716,2.819999933242798
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,58.0,0.0,1.0,19.0,,,
